      SDSS-FIRST Complete Data

    Redshift   Lum. Dist.        K-{opt} f_2500A         f_1.4GHz   L_o,    L_r
                  cm                    erg/(s cm2 Hz)     mJy       erg/(s Hz)  erg/(s Hz)

     0.224200 3.38915e+027      1.42069 1.88982e-027      1.35000 1.92004e+029 1.80219e+030
     0.225500 3.41130e+027      1.41797 2.40337e-027      2.47000 2.47858e+029 3.33917e+030
     0.225700 3.41472e+027      1.41756 2.06833e-027      9.42261 2.13796e+029 1.27630e+031
     0.226000 3.41983e+027      1.41693 1.65053e-027      1.73439 1.71196e+029 2.35606e+030
     0.226000 3.41983e+027      1.41693 2.26373e-027      4.99252 2.34798e+029 6.78202e+030
     0.226400 3.42666e+027      1.41610 6.33903e-027      2.16836 6.60513e+029 2.95696e+030
     0.226700 3.43178e+027      1.41547 1.26248e-027      36.8014 1.31999e+029 5.03307e+031
     0.226700 3.43178e+027      1.41547 3.66456e-027      1.59683 3.83150e+029 2.18388e+030
     0.227300 3.44202e+027      1.41423 2.75184e-027      3.11000 2.89696e+029 4.27793e+030
     0.228100 3.45569e+027      1.41257 4.77335e-027      3.89000 5.07102e+029 5.39203e+030
     0.228100 3.45569e+027      1.41257 1.72037e-027      3.54000 1.82765e+029 4.90689e+030
     0.228200 3.45740e+027      1.41236 2.93510e-027      3.67138 3.12168e+029 5.09387e+030
     0.228900 3.46937e+027      1.41091 4.72521e-027      1.69893 5.06563e+029 2.37300e+030
     0.230000 3.48820e+027      1.40864 1.94636e-027      255.919 2.11269e+029 3.61218e+032
     0.230400 3.49505e+027      1.40658 1.08949e-027      1.75000 1.18898e+029 2.47943e+030
     0.230900 3.50362e+027      1.40402 3.39485e-027      7.86266 3.72985e+029 1.11928e+031
     0.231600 3.51562e+027      1.40044 1.78987e-027      2.23000 1.98503e+029 3.19555e+030
     0.232000 3.52248e+027      1.39841 1.60702e-027      1.57000 1.79181e+029 2.25828e+030
     0.232900 3.53792e+027      1.39386 2.01939e-027      1.71949 2.27881e+029 2.49431e+030
     0.233000 3.53964e+027      1.39335 2.07980e-027      4.06000 2.35011e+029 5.89500e+030
     0.233700 3.55166e+027      1.38983 1.85022e-027      1.55516 2.11025e+029 2.27290e+030
     0.233800 3.55338e+027      1.38933 3.18289e-027      1.26824 3.63503e+029 1.85528e+030
     0.233800 3.55338e+027      1.38933 1.41652e-027      2.12546 1.61774e+029 3.10931e+030
     0.233800 3.55338e+027      1.38933 1.08648e-027      4.99000 1.24082e+029 7.29980e+030
     0.235200 3.57745e+027      1.38235 9.92710e-028      3.37000 1.15494e+029 4.99467e+030
     0.235700 3.58605e+027      1.37987 1.02240e-027      1.14575 1.19736e+029 1.70601e+030
     0.235700 3.58605e+027      1.37987 1.37158e-027      1.82000 1.60629e+029 2.70997e+030
     0.235900 3.58949e+027      1.37889 1.40872e-027      1.25000 1.65414e+029 1.86470e+030
     0.236100 3.59293e+027      1.37790 1.13455e-027      2.16000 1.33572e+029 3.22817e+030
     0.236100 3.59293e+027      1.37790 1.35276e-027      3.12000 1.59262e+029 4.66292e+030
     0.236100 3.59293e+027      1.37790 1.70303e-027      1.20000 2.00499e+029 1.79343e+030
     0.236700 3.60327e+027      1.37495 1.64901e-027      1.41787 1.95677e+029 2.13084e+030
     0.236800 3.60499e+027      1.37446 1.37411e-027      1.27518 1.63271e+029 1.91816e+030
     0.237000 3.60844e+027      1.37348 1.45352e-027      1.07000 1.73160e+029 1.61250e+030
     0.237400 3.61533e+027      1.37152 1.52765e-027      1.20000 1.82947e+029 1.81509e+030
     0.237500 3.61705e+027      1.37103 1.14927e-027      32.1600 1.37814e+029 4.86893e+031
     0.238300 3.63085e+027      1.36714 3.17119e-027      1.31000 3.84270e+029 1.99794e+030
     0.238500 3.63430e+027      1.36617 9.51529e-028      1.52338 1.15603e+029 2.32764e+030
     0.238600 3.63603e+027      1.36569 1.91435e-027      2.96000 2.32881e+029 4.52688e+030
     0.238700 3.63775e+027      1.36520 1.45352e-027      1.96000 1.77052e+029 3.00028e+030
     0.239700 3.65502e+027      1.36038 2.41446e-027      3.10000 2.97953e+029 4.78894e+030
     0.239800 3.65674e+027      1.35990 9.94538e-028      1.66000 1.22889e+029 2.56674e+030
     0.239800 3.65674e+027      1.35990 2.53994e-027      2.29000 3.13845e+029 3.54086e+030
     0.240400 3.66711e+027      1.35512 1.19460e-026      333.067 1.48972e+030 5.17821e+032
     0.240600 3.67057e+027      1.35321 1.65661e-026      13.7862 2.07267e+030 2.14726e+031
     0.240600 3.67057e+027      1.35321 1.07059e-027      15.8085 1.33947e+029 2.46224e+031
     0.242000 3.69478e+027      1.34004 1.21345e-027      18.4219 1.55344e+029 2.90596e+031
     0.242600 3.70517e+027      1.33447 2.09905e-027      2.81177 2.71357e+029 4.45954e+030
     0.242600 3.70517e+027      1.33447 1.84341e-027      1.29693 2.38308e+029 2.05696e+030
     0.242600 3.70517e+027      1.33447 1.67657e-027      1.73037 2.16741e+029 2.74441e+030
     0.242900 3.71036e+027      1.33170 2.98142e-027      3.03000 3.87310e+029 4.81867e+030
     0.243700 3.72423e+027      1.32438 4.01440e-027      2.72000 5.28313e+029 4.35693e+030
     0.243800 3.72596e+027      1.32347 1.91435e-027      2.53000 2.52344e+029 4.05623e+030
     0.245300 3.75198e+027      1.30997 1.28832e-027      1.70252 1.73977e+029 2.76650e+030
     0.246200 3.76761e+027      1.30200 1.17172e-027      1.38061 1.60528e+029 2.26148e+030
     0.246500 3.77282e+027      1.29937 1.46563e-027      1.62000 2.01759e+029 2.66070e+030
     0.246600 3.77456e+027      1.29849 1.41131e-027      1.86952 1.94593e+029 3.07325e+030
     0.246800 3.77803e+027      1.29674 1.23714e-027      7.34067 1.71123e+029 1.20886e+031
     0.248100 3.80064e+027      1.28550 1.63841e-027      5.02426 2.31353e+029 8.36974e+030
     0.249100 3.81805e+027      1.27698 1.11899e-027      367.626 1.60522e+029 6.17839e+032
     0.249100 3.81805e+027      1.27698 5.10530e-027      243.775 7.32370e+029 4.09693e+032
     0.249600 3.82676e+027      1.27276 9.19647e-028      848.317 1.32968e+029 1.43198e+033
     0.249800 3.83024e+027      1.27108 1.36152e-027      1.15862 1.97476e+029 1.95922e+030
     0.249900 3.83198e+027      1.27024 1.48190e-027      1.28000 2.15274e+029 2.16637e+030
     0.250100 3.83547e+027      1.26857 2.03433e-027      3.26000 2.96452e+029 5.52717e+030
