 |                              | |                              |            |            |      |          |    |      | SDSS-DR6 u  | SDSS-DR6 u  | SDSS-DR6 g  | SDSS-DR6 g  | SDSS-DR6 r  | SDSS-DR6 r  | SDSS-DR6 i  | SDSS-DR6 i  | SDSS-DR6 z  | SDSS-DR6 z  |    FIRST    |    FIRST    
 |      Input Object Name       | |         Object Name          |     RA     |    Dec     |Object| Redshift | z  |Mag./ |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   1.4 GHz   |   1.4 GHz   
 |   (E/W Hover for Messages)   | | (* Hover for Essential Note) |  J2000.0   |  J2000.0   | Type |          |Qual|Filter|  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  
 |                              | |                              |            |            |      |          |    |      |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |   milliJy   |  W/m^2/Hz    
 |4C+40.25                      |*|FBQS J102311.5+394815         |10h23m11.57s|+39d48m15.4s|QSO   |  1.254000|    |  17.5|       18.474|     1.54E-30|       18.370|     1.63E-30|       18.002|     2.29E-30|       18.111|     2.07E-30|       18.230|     1.82E-30|      1079.96|     1.08E-26
 |PMNJ1028-0237                 | |SDSS J102834.03-023659.6      |10h28m34.04s|-02d36m59.7s|G     |  0.476000|    |  21.9|       20.345|     2.74E-31|       19.478|     5.87E-31|       18.895|     1.00E-30|       18.383|     1.61E-30|       18.000|     2.25E-30|             |             
 |TXS1028+605                   |*|WISE J103144.75+602030.3      |10h31m44.76s|+60d20m30.4s|QSO   |  1.231173|    | 18.2g|       18.262|     1.87E-30|       18.197|     1.91E-30|       17.950|     2.40E-30|       17.902|     2.51E-30|       17.875|     2.52E-30|             |             
 |S41030+41                     |*|FBQS J103303.7+411606         |10h33m03.71s|+41d16m06.2s|QSO   |  1.118486|    | 19.6g|       19.465|     6.17E-31|       19.515|     5.68E-31|       19.140|     8.02E-31|       19.062|     8.61E-31|       19.213|     7.35E-31|       432.84|     4.33E-27
 |S41030+61                     |*|WISE J103351.43+605107.3      |10h33m51.43s|+60d51m07.3s|QSO   |  1.409276|    | 18.9g|       19.316|     7.07E-31|       18.878|     1.02E-30|       18.461|     1.50E-30|       18.168|     1.96E-30|       17.930|     2.40E-30|             |             
 |B21040+24A                    | |FBQS J104309.0+240835         |10h43m09.04s|+24d08m35.4s|QSO   |  0.563446|    | 16.8i|       18.288|     1.82E-30|       17.701|     3.02E-30|       17.194|     4.81E-30|       16.845|     6.64E-30|       16.525|     8.75E-30|             |             
 |S51039+81                     | |[HB89] 1039+811               |10h44m23.06s|+80d54m39.4s|QSO   |  1.260000|    | 17.9V|             |             |             |             |             |             |             |             |             |             |             |             
 |MG2J105938+2057               | |SDSS J105939.03+205721.8      |10h59m39.04s|+20d57m22.0s|QSO   |  0.400000|    | 18.35|       20.122|     3.37E-31|       19.604|     5.23E-31|       19.073|     8.53E-31|       18.643|     1.27E-30|       18.197|     1.88E-30|             |             
 |TXS1100+122                   | |2MASS J11030344+1158163       |11h03m03.53s|+11d58m16.6s|QSO   |  0.913941|    | 18.9g|       19.205|     7.83E-31|       18.856|     1.04E-30|       18.724|     1.18E-30|       18.716|     1.18E-30|       18.452|     1.48E-30|             |             
 |MG2J110606+2812               | |WISE J110607.26+281247.1      |11h06m07.26s|+28d12m47.1s|QSO   |  0.843521|    | 18.6g|       19.137|     8.34E-31|       18.631|     1.28E-30|       18.139|     2.02E-30|       17.826|     2.69E-30|       17.518|     3.51E-30|             |             
