                              | |                              |      |          |    |      | SDSS-DR6 u  | SDSS-DR6 u  | SDSS-DR6 g  | SDSS-DR6 g  | SDSS-DR6 r  | SDSS-DR6 r  | SDSS-DR6 i  | SDSS-DR6 i  | SDSS-DR6 z  | SDSS-DR6 z  |    FIRST    |    FIRST    
      Input Object Name       | |         Object Name          |Object| Redshift | z  |Mag./ |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   1.4 GHz   |   1.4 GHz   
                              | | (* Hover for Essential Note) | Type |          |Qual|Filter|  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  
                              | |                              |      |          |    |      |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |   milliJy   |  W/m^2/Hz    
NRAO140                       | |[HB89] 0333+321               |QSO   |  1.258000|    | 17.5V|             |             |             |             |             |             |             |             |             |             |             |             
PKS0334-131                   | |PKS 0334-131                  |QSO   |  1.303000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
PKS0335-364                   | |FCSS J033654.0-361606         |QSO   |  1.540577|    | 18.00|             |             |             |             |             |             |             |             |             |             |             |             
PKS0336-01                    | |[HB89] 0336-019               |QSO   |  0.852000|    | 18.41|             |             |             |             |             |             |             |             |             |             |             |             
GB6J0342+3858                 | |WISE J034216.26+385906.2      |RadioS|  0.945000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
PKS0341-256                   | |PKS 0341-256                  |QSO   |  1.419000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
PKS0346-27                    | |[HB89] 0346-279               |QSO   |  0.991000|    |  19.4|             |             |             |             |             |             |             |             |             |             |             |             
PKS0347-211                   |*|PKS 0347-211                  |QSO   |  2.944000|    |  21.1|             |             |             |             |             |             |             |             |             |             |             |             
TXS0358+210                   |*|WISE J040145.16+211028.5      |QSO   |  0.834000|    | 17.94|             |             |             |             |             |             |             |             |             |             |             |             
PKS0400-319                   | |PKS 0400-319                  |QSO   |  1.288000|    |  19.5|             |             |             |             |             |             |             |             |             |             |             |             
TXS0401-248                   |*|WISE J040341.73-244408.4      |QSO   |  0.598000|    | 19.5R|             |             |             |             |             |             |             |             |             |             |             |             
PKS0402-362                   | |[HB89] 0402-362               |QSO   |  1.422838|    | 18.3b|             |             |             |             |             |             |             |             |             |             |             |             
PKS0403-13                    | |[HB89] 0403-132               |QSO   |  0.570550|    | 18.1b|             |             |             |             |             |             |             |             |             |             |             |             
PKS0405-385                   |*|[HB89] 0405-385               |QSO   |  1.285000|    |  18.0|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0413-5332                 | |WISE J041313.41-533200.4      |RadioS|  1.024000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
PKS0414-189                   |*|[HB89] 0414-189               |QSO   |  1.536000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0422-0643                 | |WISE J042210.78-064345.3      |G     |  0.242000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
PKS0420-01                    |*|[HB89] 0420-014               |QSO   |  0.916087|    | 18.1b|             |             |             |             |             |             |             |             |             |             |             |             
PKS0436-129                   | |[HB89] 0436-129               |QSO   |  1.277000|    |  19.8|             |             |             |             |             |             |             |             |             |             |             |             
PKS0440-00                    | |[HB89] 0440-003               |QSO   |  0.844000|    | 19.22|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0444-6014                 | |2MASX J04450151-6015003       |G     |          |    | 16.98|             |             |             |             |             |             |             |             |             |             |             |             
PKS0446-212                   | |PKS 0446-212                  |QSO   |  1.971000|    |  19.5|             |             |             |             |             |             |             |             |             |             |             |             
PKS0446+11                    |*|PKS 0446+11                   |G     |  1.207000|    |  20.0|             |             |             |             |             |             |             |             |             |             |             |             
PKS0451-28                    | |[HB89] 0451-282               |QSO   |  2.559000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
PKS0454-46                    | |[HB89] 0454-463               |QSO   |  0.852800|    |  17.4|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0456-3135                 | |WISE J045636.68-313612.5      |RadioS|  0.865000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
4C+06.21                      |*|4C +06.21                     |G     |  0.405000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
PKS0454-234                   | |PKS 0454-234                  |QSO   |  1.003000|    | 18.9V|             |             |             |             |             |             |             |             |             |             |             |             
S30458-02                     | |[HB89] 0458-020               |QSO   |  2.286000|    | 18.1V|             |             |             |             |             |             |             |             |             |             |             |             
PKS0459+060                   | |PKS 0459+060                  |QSO   |  1.106000|    |  19.5|             |             |             |             |             |             |             |             |             |             |             |             
PKS0502+049                   | |PKS 0502+049                  |QSO   |  0.954000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
S30503-04                     | |[HB89] 0503-043               |QSO   |  1.481000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0507-6104                 | |WISE J050754.64-610443.2      |VisS  |  1.089000|    | 21.1B|             |             |             |             |             |             |             |             |             |             |             |             
PKS0506-61                    |*|[HB89] 0506-612               |QSO   |  1.093000|    | 16.9R|             |             |             |             |             |             |             |             |             |             |             |             
PKS0506+101                   | |PKS 0506+101                  |QSO   |  0.621000|    |  19.5|             |             |             |             |             |             |             |             |             |             |             |             
PKS0507+17                    | |PKS 0507+17                   |QSO   |  0.416000|    |  20.0|             |             |             |             |             |             |             |             |             |             |             |             
TXS0510+559                   | |LQAC 078+056 001              |QSO   |  2.190000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
PKS0514-459                   |*|PKS 0514-459                  |G     |  0.194000|    |  17.5|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0517+0858                 | |WISE J051740.05+085835.7      |RadioS|  0.328000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
TXS0519-176                   | |WISE J052123.54-173730.1      |QSO   |  0.347000|    | 17.7R|             |             |             |             |             |             |             |             |             |             |             |             
PKS0524-460                   | |PKS 0524-460                  |QSO   |  1.479000|    |  17.3|             |             |             |             |             |             |             |             |             |             |             |             
PKS0524-485                   |*|PKS 0524-485                  |VisS  |  1.300000|    | 20.0B|             |             |             |             |             |             |             |             |             |             |             |             
PKS0528+134                   | |PKS 0528+134                  |QSO   |  2.060000|    | 20.0V|             |             |             |             |             |             |             |             |             |             |             |             
OG050                         | |WISE J053239.00+073243.2      |QSO   |  1.254000|    | 19.0V|             |             |             |             |             |             |             |             |             |             |             |             
PKS0541-834                   | |PKS 0541-834                  |RadioS|  0.774000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
PKS0537-286                   | |[HB89] 0537-286               |QSO   |  3.104000|    | 18.1R|             |             |             |             |             |             |             |             |             |             |             |             
PKS0539-543                   | |PKS 0539-543                  |QSO   |  1.185000|    | 18.2V|             |             |             |             |             |             |             |             |             |             |             |             
PKS0558-396                   | |PKS 0558-396                  |QSO   |  1.661000|    |  18.6|             |             |             |             |             |             |             |             |             |             |             |             
